LSOA11CD,LSOA11NM,LSOA11NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,geometry,x,y,LSOA,PWC_Distance,NodeID,nodeX,nodeY,Nodeless
E01007823,Sheffield 069A,Sheffield 069A,434232,381158,-1.4875,53.3262,f80ee960-a032-462a-81a6-bd5e909df988,"POLYGON ((-1.4812362501162188 53.33205116440044, -1.4805097001238137 53.33142298029689, -1.48146976236859 53.331073841584974, -1.4813077567580861 53.33056618036502, -1.4831078953994843 53.330863956511436, -1.4839416573992734 53.33145351412136, -1.4845699274444126 53.33153629116151, -1.4847867053191413 53.33124874145784, -1.4835071611827186 53.33092904632637, -1.4826210638690445 53.32930532577989, -1.4826013441892596 53.32925879894532, -1.4821123305306487 53.32760781993678, -1.4828914841601963 53.32694047150057, -1.4821502817126209 53.32624238329863, -1.4795553049382586 53.32631199738825, -1.4792737865287904 53.32607313350926, -1.481725139557676 53.32504671222435, -1.4854982006275181 53.32482658354462, -1.488476263013823 53.32460141265579, -1.4916824017624042 53.32324893456294, -1.4921979251581203 53.322986466734086, -1.4922589374633246 53.322954817901525, -1.4933355815943534 53.32240954899741, -1.4944124412063216 53.32191741293054, -1.4953834655106009 53.322715374111525, -1.4957665550274726 53.32327391025891, -1.4935040633873573 53.32422133099373, -1.4939232089569197 53.32456871788141, -1.4935007276363637 53.324746701547724, -1.4895801721195243 53.32650669658326, -1.4881722241603048 53.32715094307789, -1.4876330241182565 53.32729319650292, -1.487773587335127 53.32784136854977, -1.4870336964081707 53.32776536462653, -1.4870092518969815 53.32815616317034, -1.486014096600411 53.32856984255049, -1.487286603557858 53.33076851940396, -1.4868062484816764 53.33093435663323, -1.4869919007637726 53.33135768038413, -1.4862918661123674 53.33124383878203, -1.4857414007515837 53.331591917445564, -1.487429856185443 53.332720792736424, -1.4876933789925655 53.33292621141141, -1.486988479199636 53.33321326983269, -1.4846846800444047 53.331695101144334, -1.4843262504714543 53.33230242089445, -1.4825636029707179 53.331845320201204, -1.4819923886639794 53.33235813303218, -1.4823500558643736 53.33303833603552, -1.4816491552652828 53.333997272338614, -1.4804210556037132 53.33322982169125, -1.4804902639610136 53.332651327364445, -1.4812001828960044 53.33255006388949, -1.4812362501162188 53.33205116440044))",-1.4856726464677963,53.32783154461365,E01007823,0.0026032279090724857,3854.0,-1.4881087,53.3269137,0
E01007823,Sheffield 069A,Sheffield 069A,434232,381158,-1.4875,53.3262,f80ee960-a032-462a-81a6-bd5e909df988,"POLYGON ((-1.4812362501162188 53.33205116440044, -1.4805097001238137 53.33142298029689, -1.48146976236859 53.331073841584974, -1.4813077567580861 53.33056618036502, -1.4831078953994843 53.330863956511436, -1.4839416573992734 53.33145351412136, -1.4845699274444126 53.33153629116151, -1.4847867053191413 53.33124874145784, -1.4835071611827186 53.33092904632637, -1.4826210638690445 53.32930532577989, -1.4826013441892596 53.32925879894532, -1.4821123305306487 53.32760781993678, -1.4828914841601963 53.32694047150057, -1.4821502817126209 53.32624238329863, -1.4795553049382586 53.32631199738825, -1.4792737865287904 53.32607313350926, -1.481725139557676 53.32504671222435, -1.4854982006275181 53.32482658354462, -1.488476263013823 53.32460141265579, -1.4916824017624042 53.32324893456294, -1.4921979251581203 53.322986466734086, -1.4922589374633246 53.322954817901525, -1.4933355815943534 53.32240954899741, -1.4944124412063216 53.32191741293054, -1.4953834655106009 53.322715374111525, -1.4957665550274726 53.32327391025891, -1.4935040633873573 53.32422133099373, -1.4939232089569197 53.32456871788141, -1.4935007276363637 53.324746701547724, -1.4895801721195243 53.32650669658326, -1.4881722241603048 53.32715094307789, -1.4876330241182565 53.32729319650292, -1.487773587335127 53.32784136854977, -1.4870336964081707 53.32776536462653, -1.4870092518969815 53.32815616317034, -1.486014096600411 53.32856984255049, -1.487286603557858 53.33076851940396, -1.4868062484816764 53.33093435663323, -1.4869919007637726 53.33135768038413, -1.4862918661123674 53.33124383878203, -1.4857414007515837 53.331591917445564, -1.487429856185443 53.332720792736424, -1.4876933789925655 53.33292621141141, -1.486988479199636 53.33321326983269, -1.4846846800444047 53.331695101144334, -1.4843262504714543 53.33230242089445, -1.4825636029707179 53.331845320201204, -1.4819923886639794 53.33235813303218, -1.4823500558643736 53.33303833603552, -1.4816491552652828 53.333997272338614, -1.4804210556037132 53.33322982169125, -1.4804902639610136 53.332651327364445, -1.4812001828960044 53.33255006388949, -1.4812362501162188 53.33205116440044))",-1.4856726464677963,53.32783154461365,E01007823,0.0024790769387103904,3855.0,-1.4880532,53.3271396,0
E01007823,Sheffield 069A,Sheffield 069A,434232,381158,-1.4875,53.3262,f80ee960-a032-462a-81a6-bd5e909df988,"POLYGON ((-1.4812362501162188 53.33205116440044, -1.4805097001238137 53.33142298029689, -1.48146976236859 53.331073841584974, -1.4813077567580861 53.33056618036502, -1.4831078953994843 53.330863956511436, -1.4839416573992734 53.33145351412136, -1.4845699274444126 53.33153629116151, -1.4847867053191413 53.33124874145784, -1.4835071611827186 53.33092904632637, -1.4826210638690445 53.32930532577989, -1.4826013441892596 53.32925879894532, -1.4821123305306487 53.32760781993678, -1.4828914841601963 53.32694047150057, -1.4821502817126209 53.32624238329863, -1.4795553049382586 53.32631199738825, -1.4792737865287904 53.32607313350926, -1.481725139557676 53.32504671222435, -1.4854982006275181 53.32482658354462, -1.488476263013823 53.32460141265579, -1.4916824017624042 53.32324893456294, -1.4921979251581203 53.322986466734086, -1.4922589374633246 53.322954817901525, -1.4933355815943534 53.32240954899741, -1.4944124412063216 53.32191741293054, -1.4953834655106009 53.322715374111525, -1.4957665550274726 53.32327391025891, -1.4935040633873573 53.32422133099373, -1.4939232089569197 53.32456871788141, -1.4935007276363637 53.324746701547724, -1.4895801721195243 53.32650669658326, -1.4881722241603048 53.32715094307789, -1.4876330241182565 53.32729319650292, -1.487773587335127 53.32784136854977, -1.4870336964081707 53.32776536462653, -1.4870092518969815 53.32815616317034, -1.486014096600411 53.32856984255049, -1.487286603557858 53.33076851940396, -1.4868062484816764 53.33093435663323, -1.4869919007637726 53.33135768038413, -1.4862918661123674 53.33124383878203, -1.4857414007515837 53.331591917445564, -1.487429856185443 53.332720792736424, -1.4876933789925655 53.33292621141141, -1.486988479199636 53.33321326983269, -1.4846846800444047 53.331695101144334, -1.4843262504714543 53.33230242089445, -1.4825636029707179 53.331845320201204, -1.4819923886639794 53.33235813303218, -1.4823500558643736 53.33303833603552, -1.4816491552652828 53.333997272338614, -1.4804210556037132 53.33322982169125, -1.4804902639610136 53.332651327364445, -1.4812001828960044 53.33255006388949, -1.4812362501162188 53.33205116440044))",-1.4856726464677963,53.32783154461365,E01007823,0.0036917799415793293,3857.0,-1.4881794,53.3251213,0
E01007824,Sheffield 066A,Sheffield 066A,433926,381709,-1.49204,53.3312,f4c6631d-a617-46ff-8d6d-0ca0aaab9eae,"POLYGON ((-1.4857414007515837 53.331591917445564, -1.4862918661123674 53.33124383878203, -1.4869919007637726 53.33135768038413, -1.4868062484816764 53.33093435663323, -1.487286603557858 53.33076851940396, -1.486014096600411 53.32856984255049, -1.4870092518969815 53.32815616317034, -1.4875209066097703 53.32869827552365, -1.4882365878507287 53.32862616805565, -1.4890264177513668 53.33010419425186, -1.4896189158621689 53.32998769948567, -1.4898890962063216 53.330296638510845, -1.4902722498671912 53.33011214470217, -1.4939976073603347 53.3284342036191, -1.4935744011442098 53.32718473237712, -1.4935986159628114 53.32688611497595, -1.4953794553536077 53.32730397143245, -1.494985225458955 53.3286535405964, -1.4955673693062477 53.32919697253656, -1.494064584129502 53.330520770565805, -1.4948828613685679 53.33092570052675, -1.4959732308437894 53.33059212467295, -1.4975789321433508 53.330780987155826, -1.4974442803915682 53.331144635993475, -1.4953324586655143 53.331788761105486, -1.4964935813033373 53.33334639974033, -1.4945033097077178 53.33367085218523, -1.4937018668386652 53.335150933594456, -1.4930982506894015 53.33554284387203, -1.4928233137419722 53.33533017983465, -1.4876933789925655 53.33292621141141, -1.487429856185443 53.332720792736424, -1.4857414007515837 53.331591917445564))",-1.491238148524607,53.33103201304498,E01007824,0.0041684248061953436,234.0,-1.4874433,53.3327568,1
E01007825,Sheffield 066B,Sheffield 066B,433246,382124,-1.5022,53.335,a612dc57-6881-449f-b42a-3c56d69954d1,"POLYGON ((-1.4960243987241355 53.34317142477067, -1.4949222576388366 53.34282381123036, -1.4937738377507181 53.343456231724744, -1.4924619668454495 53.3431000027311, -1.4929397507435844 53.34233606582469, -1.4909009557818977 53.34135585954975, -1.4913557874204986 53.3409982481229, -1.4907721315687474 53.3402764536888, -1.4908490839661255 53.33940507990625, -1.4922062382626755 53.33894344459285, -1.4918796129169865 53.33802604733449, -1.4939997997383918 53.33735911543835, -1.4936061568049666 53.33676118659728, -1.4954083857304716 53.335949896588495, -1.4974372135016443 53.33624172534348, -1.5004377766968033 53.3359655901926, -1.501142312769654 53.33507100912682, -1.50003519613112 53.33404814108798, -1.4971881516664403 53.333267277580845, -1.4964935813033373 53.33334639974033, -1.4953324586655143 53.331788761105486, -1.4974442803915682 53.331144635993475, -1.4975789321433508 53.330780987155826, -1.4959732308437894 53.33059212467295, -1.4948828613685679 53.33092570052675, -1.494064584129502 53.330520770565805, -1.4955673693062477 53.32919697253656, -1.4958971829008716 53.32905347575506, -1.4971843910089235 53.3294004770675, -1.498469249052068 53.32866880306686, -1.5000633629081483 53.329736163158515, -1.5014580318828912 53.32988581545381, -1.5050163117411646 53.328671183721674, -1.5066488889381153 53.32981176550821, -1.513626603873003 53.330778983842244, -1.5125981667703776 53.331182933084555, -1.5117849592576946 53.333487194006764, -1.5082206216017828 53.33710205184345, -1.5066220978826033 53.33739124969982, -1.5051380210015206 53.338116459284315, -1.5047358947619263 53.33854193714696, -1.5013162599581364 53.34093662427933, -1.500495934235239 53.34145272131457, -1.49801082017128 53.34364929251072, -1.4960243987241355 53.34317142477067))",-1.498949927301662,53.33775808543931,E01007825,0.0035152135240652965,2877.0,-1.5012152,53.3350701,0
E01007826,Sheffield 066C,Sheffield 066C,433274,381093,-1.50189,53.3257,ad133a15-96fb-40ac-b042-c4cb24f51f9a,"POLYGON ((-1.5066488889381153 53.32981176550821, -1.5050163117411646 53.328671183721674, -1.5014580318828912 53.32988581545381, -1.5000633629081483 53.329736163158515, -1.498469249052068 53.32866880306686, -1.4971843910089235 53.3294004770675, -1.4958971829008716 53.32905347575506, -1.4955673693062477 53.32919697253656, -1.494985225458955 53.3286535405964, -1.4953794553536077 53.32730397143245, -1.4935986159628114 53.32688611497595, -1.4935744011442098 53.32718473237712, -1.4939976073603347 53.3284342036191, -1.4902722498671912 53.33011214470217, -1.4898890962063216 53.330296638510845, -1.4896189158621689 53.32998769948567, -1.4890264177513668 53.33010419425186, -1.4882365878507287 53.32862616805565, -1.4875209066097703 53.32869827552365, -1.4870092518969815 53.32815616317034, -1.4870336964081707 53.32776536462653, -1.487773587335127 53.32784136854977, -1.4876330241182565 53.32729319650292, -1.4881722241603048 53.32715094307789, -1.4895801721195243 53.32650669658326, -1.4935007276363637 53.324746701547724, -1.4939232089569197 53.32456871788141, -1.4935040633873573 53.32422133099373, -1.4957665550274726 53.32327391025891, -1.4968443707832844 53.32396531694571, -1.497262286584361 53.3238277876551, -1.4983305067830466 53.32443040143971, -1.4990573099637519 53.32396930218835, -1.4998859204459756 53.324765459976966, -1.5018740619207727 53.3240205359786, -1.5024760774746058 53.32421084430742, -1.5053788693999983 53.32226544945633, -1.5060204342312147 53.32162528302993, -1.506500678063265 53.32176206491799, -1.5073819007544322 53.32072556897823, -1.5082324029760752 53.32162936846148, -1.5103947195709286 53.322685155836105, -1.5106236625888474 53.324982724251065, -1.5121839692491197 53.32549135731258, -1.5126251454980044 53.32617824670946, -1.5146521339170322 53.32654074262663, -1.5148413694147427 53.32714407780381, -1.5142526497778295 53.32854361110727, -1.51468270250575 53.3294305368784, -1.513626603873003 53.330778983842244, -1.5066488889381153 53.32981176550821))",-1.4926255233102304,53.32698375049985,E01007826,0.004539056616175264,467.0,-1.488097,53.3272928,0
E01007826,Sheffield 066C,Sheffield 066C,433274,381093,-1.50189,53.3257,ad133a15-96fb-40ac-b042-c4cb24f51f9a,"POLYGON ((-1.5066488889381153 53.32981176550821, -1.5050163117411646 53.328671183721674, -1.5014580318828912 53.32988581545381, -1.5000633629081483 53.329736163158515, -1.498469249052068 53.32866880306686, -1.4971843910089235 53.3294004770675, -1.4958971829008716 53.32905347575506, -1.4955673693062477 53.32919697253656, -1.494985225458955 53.3286535405964, -1.4953794553536077 53.32730397143245, -1.4935986159628114 53.32688611497595, -1.4935744011442098 53.32718473237712, -1.4939976073603347 53.3284342036191, -1.4902722498671912 53.33011214470217, -1.4898890962063216 53.330296638510845, -1.4896189158621689 53.32998769948567, -1.4890264177513668 53.33010419425186, -1.4882365878507287 53.32862616805565, -1.4875209066097703 53.32869827552365, -1.4870092518969815 53.32815616317034, -1.4870336964081707 53.32776536462653, -1.487773587335127 53.32784136854977, -1.4876330241182565 53.32729319650292, -1.4881722241603048 53.32715094307789, -1.4895801721195243 53.32650669658326, -1.4935007276363637 53.324746701547724, -1.4939232089569197 53.32456871788141, -1.4935040633873573 53.32422133099373, -1.4957665550274726 53.32327391025891, -1.4968443707832844 53.32396531694571, -1.497262286584361 53.3238277876551, -1.4983305067830466 53.32443040143971, -1.4990573099637519 53.32396930218835, -1.4998859204459756 53.324765459976966, -1.5018740619207727 53.3240205359786, -1.5024760774746058 53.32421084430742, -1.5053788693999983 53.32226544945633, -1.5060204342312147 53.32162528302993, -1.506500678063265 53.32176206491799, -1.5073819007544322 53.32072556897823, -1.5082324029760752 53.32162936846148, -1.5103947195709286 53.322685155836105, -1.5106236625888474 53.324982724251065, -1.5121839692491197 53.32549135731258, -1.5126251454980044 53.32617824670946, -1.5146521339170322 53.32654074262663, -1.5148413694147427 53.32714407780381, -1.5142526497778295 53.32854361110727, -1.51468270250575 53.3294305368784, -1.513626603873003 53.330778983842244, -1.5066488889381153 53.32981176550821))",-1.4926255233102304,53.32698375049985,E01007826,0.01299074373356469,1897.0,-1.5055142,53.328609,0
E01007826,Sheffield 066C,Sheffield 066C,433274,381093,-1.50189,53.3257,ad133a15-96fb-40ac-b042-c4cb24f51f9a,"POLYGON ((-1.5066488889381153 53.32981176550821, -1.5050163117411646 53.328671183721674, -1.5014580318828912 53.32988581545381, -1.5000633629081483 53.329736163158515, -1.498469249052068 53.32866880306686, -1.4971843910089235 53.3294004770675, -1.4958971829008716 53.32905347575506, -1.4955673693062477 53.32919697253656, -1.494985225458955 53.3286535405964, -1.4953794553536077 53.32730397143245, -1.4935986159628114 53.32688611497595, -1.4935744011442098 53.32718473237712, -1.4939976073603347 53.3284342036191, -1.4902722498671912 53.33011214470217, -1.4898890962063216 53.330296638510845, -1.4896189158621689 53.32998769948567, -1.4890264177513668 53.33010419425186, -1.4882365878507287 53.32862616805565, -1.4875209066097703 53.32869827552365, -1.4870092518969815 53.32815616317034, -1.4870336964081707 53.32776536462653, -1.487773587335127 53.32784136854977, -1.4876330241182565 53.32729319650292, -1.4881722241603048 53.32715094307789, -1.4895801721195243 53.32650669658326, -1.4935007276363637 53.324746701547724, -1.4939232089569197 53.32456871788141, -1.4935040633873573 53.32422133099373, -1.4957665550274726 53.32327391025891, -1.4968443707832844 53.32396531694571, -1.497262286584361 53.3238277876551, -1.4983305067830466 53.32443040143971, -1.4990573099637519 53.32396930218835, -1.4998859204459756 53.324765459976966, -1.5018740619207727 53.3240205359786, -1.5024760774746058 53.32421084430742, -1.5053788693999983 53.32226544945633, -1.5060204342312147 53.32162528302993, -1.506500678063265 53.32176206491799, -1.5073819007544322 53.32072556897823, -1.5082324029760752 53.32162936846148, -1.5103947195709286 53.322685155836105, -1.5106236625888474 53.324982724251065, -1.5121839692491197 53.32549135731258, -1.5126251454980044 53.32617824670946, -1.5146521339170322 53.32654074262663, -1.5148413694147427 53.32714407780381, -1.5142526497778295 53.32854361110727, -1.51468270250575 53.3294305368784, -1.513626603873003 53.330778983842244, -1.5066488889381153 53.32981176550821))",-1.4926255233102304,53.32698375049985,E01007826,0.0043905125045579155,1918.0,-1.4882392,53.3271755,0
E01007827,Sheffield 064A,Sheffield 064A,436198,383406,-1.45773,53.3463,b465c1c1-9916-4c42-892a-4c5764aac112,"POLYGON ((-1.4518704938128297 53.34897266018248, -1.449667782416066 53.34746411369349, -1.4511787934533344 53.34504055195408, -1.4511106202523838 53.344235097477494, -1.4518165772223266 53.34297308292506, -1.453350275472083 53.34141361630823, -1.4535439820217722 53.34120774352067, -1.455451623065915 53.340364333652126, -1.4590595300821971 53.33984593024125, -1.4613194688824829 53.34024263782226, -1.463456608217522 53.33978007782818, -1.463401528221623 53.33975160917786, -1.464119801939482 53.339099338791456, -1.468456173070623 53.33821085846993, -1.4696401745711143 53.33961837034431, -1.4773185229488466 53.33753634078655, -1.4784996770844134 53.33814048068692, -1.4795537676106763 53.339393510500344, -1.4795927606194441 53.340012726979424, -1.478944449633924 53.33994318491374, -1.4757847155511212 53.33986521890261, -1.4757153616697802 53.340097768086444, -1.4749357848552018 53.3401082479008, -1.473988209789612 53.34065698433697, -1.4734214134630126 53.34055391971514, -1.4735343084078212 53.34135450663516, -1.473031033415915 53.34147587282867, -1.471422201129007 53.341719412686615, -1.4715318820691237 53.34345425116157, -1.4711252530361096 53.34361024824535, -1.4712118621982806 53.343816465269086, -1.4687309028996482 53.34392081364654, -1.468606647082626 53.344354827316764, -1.4677577418287395 53.34400187274105, -1.4681979872063196 53.3436979156787, -1.4674855050096147 53.34367342333896, -1.4645659066326309 53.34471737186573, -1.4639922602806994 53.34534399544839, -1.4648832609317306 53.34578065382451, -1.4646652116548808 53.34612670511146, -1.4653937136122077 53.346520772996065, -1.465968856480989 53.34640776039404, -1.466089500249761 53.346017244347784, -1.4664932162041486 53.3463171383169, -1.4673973498775217 53.34610953908186, -1.4675431281304394 53.34558122828022, -1.468271113703284 53.34582131699623, -1.4677672015761432 53.34615012752419, -1.4687471442321645 53.34622113415863, -1.4685919108485026 53.34657455513764, -1.4674556735621798 53.34652463000404, -1.4670410390563084 53.34676257284015, -1.4672916795582829 53.34726437358829, -1.4683270699901652 53.34738780166157, -1.4683618951849273 53.347798095270754, -1.4669501657977795 53.347700161032506, -1.4651165647218833 53.34804104830304, -1.4643776676814964 53.34776924214389, -1.4634213568349999 53.34771009914281, -1.460547800285202 53.35044335764154, -1.458114781990642 53.35146772773705, -1.456918617632906 53.35233329385338, -1.4563133587806008 53.353836217055914, -1.456472371680106 53.35472336573594, -1.4555537582947704 53.35517341349617, -1.4542499731008791 53.354211738384, -1.4530118475115712 53.353657373386675, -1.4511999655998167 53.352167894227655, -1.4511783281021804 53.3514017736787, -1.451700126285158 53.35016611445713, -1.451299631731712 53.34952368242996, -1.4518704938128297 53.34897266018248))",-1.4686129034214606,53.3427641551037,E01007827,0.0029892021538458387,1412.0,-1.4699771,53.3401044,0
E01007827,Sheffield 064A,Sheffield 064A,436198,383406,-1.45773,53.3463,b465c1c1-9916-4c42-892a-4c5764aac112,"POLYGON ((-1.4518704938128297 53.34897266018248, -1.449667782416066 53.34746411369349, -1.4511787934533344 53.34504055195408, -1.4511106202523838 53.344235097477494, -1.4518165772223266 53.34297308292506, -1.453350275472083 53.34141361630823, -1.4535439820217722 53.34120774352067, -1.455451623065915 53.340364333652126, -1.4590595300821971 53.33984593024125, -1.4613194688824829 53.34024263782226, -1.463456608217522 53.33978007782818, -1.463401528221623 53.33975160917786, -1.464119801939482 53.339099338791456, -1.468456173070623 53.33821085846993, -1.4696401745711143 53.33961837034431, -1.4773185229488466 53.33753634078655, -1.4784996770844134 53.33814048068692, -1.4795537676106763 53.339393510500344, -1.4795927606194441 53.340012726979424, -1.478944449633924 53.33994318491374, -1.4757847155511212 53.33986521890261, -1.4757153616697802 53.340097768086444, -1.4749357848552018 53.3401082479008, -1.473988209789612 53.34065698433697, -1.4734214134630126 53.34055391971514, -1.4735343084078212 53.34135450663516, -1.473031033415915 53.34147587282867, -1.471422201129007 53.341719412686615, -1.4715318820691237 53.34345425116157, -1.4711252530361096 53.34361024824535, -1.4712118621982806 53.343816465269086, -1.4687309028996482 53.34392081364654, -1.468606647082626 53.344354827316764, -1.4677577418287395 53.34400187274105, -1.4681979872063196 53.3436979156787, -1.4674855050096147 53.34367342333896, -1.4645659066326309 53.34471737186573, -1.4639922602806994 53.34534399544839, -1.4648832609317306 53.34578065382451, -1.4646652116548808 53.34612670511146, -1.4653937136122077 53.346520772996065, -1.465968856480989 53.34640776039404, -1.466089500249761 53.346017244347784, -1.4664932162041486 53.3463171383169, -1.4673973498775217 53.34610953908186, -1.4675431281304394 53.34558122828022, -1.468271113703284 53.34582131699623, -1.4677672015761432 53.34615012752419, -1.4687471442321645 53.34622113415863, -1.4685919108485026 53.34657455513764, -1.4674556735621798 53.34652463000404, -1.4670410390563084 53.34676257284015, -1.4672916795582829 53.34726437358829, -1.4683270699901652 53.34738780166157, -1.4683618951849273 53.347798095270754, -1.4669501657977795 53.347700161032506, -1.4651165647218833 53.34804104830304, -1.4643776676814964 53.34776924214389, -1.4634213568349999 53.34771009914281, -1.460547800285202 53.35044335764154, -1.458114781990642 53.35146772773705, -1.456918617632906 53.35233329385338, -1.4563133587806008 53.353836217055914, -1.456472371680106 53.35472336573594, -1.4555537582947704 53.35517341349617, -1.4542499731008791 53.354211738384, -1.4530118475115712 53.353657373386675, -1.4511999655998167 53.352167894227655, -1.4511783281021804 53.3514017736787, -1.451700126285158 53.35016611445713, -1.451299631731712 53.34952368242996, -1.4518704938128297 53.34897266018248))",-1.4686129034214606,53.3427641551037,E01007827,0.006100385494714956,1413.0,-1.4632605,53.3398373,0
